NOP_Вхождение в гр.МНЛЗ,NOP_Завалка лома,NOP_Заливка чугуна,NOP_Наведение гарнисажа,NOP_Нагрев лома,NOP_Наложение продувки,NOP_Неиспр. электр. обор,NOP_Обрыв горловины,NOP_Осмотр конвертера,NOP_Отсутствие O2,NOP_Отсутствие чугуна,NOP_Подварка  футеровки,NOP_Полусухое торкрет.,NOP_Продувка,NOP_Слив шлака,NOP_межпл. простой
0,16,203,100,730,0,0,0,144,126,0,0,0,1170,46,666
620,31,188,112,788,0,0,0,198,440,0,0,0,1230,118,845
0,133,209,136,738,0,0,0,102,0,0,0,0,1226,55,614
0,17,175,184,776,0,0,541,0,0,0,0,0,1058,42,1401
0,136,184,133,736,0,0,0,120,0,0,0,0,1239,49,929
0,167,232,93,764,973,0,0,69,0,0,0,0,1179,91,2259
568,196,207,116,760,817,0,0,55,0,0,0,0,1167,23,2489
0,173,222,115,734,0,0,0,62,0,0,1239,0,1215,153,2002
0,170,203,110,746,0,0,0,111,0,0,0,0,1190,92,561
689,158,221,109,736,0,0,0,119,0,0,0,0,1031,57,2108
62,170,193,135,730,0,0,250,43,0,0,0,0,1136,46,622
0,964,186,103,756,0,0,933,74,0,544,0,0,1131,103,1884
0,199,184,111,732,0,0,0,84,0,0,0,0,1150,85,1892
1084,225,182,124,728,0,0,0,56,0,0,0,0,1118,118,998
429,177,204,120,748,0,0,0,65,0,0,0,0,1205,72,1700
0,141,220,118,734,0,0,0,83,539,330,0,0,1077,103,1087
0,382,201,160,772,0,0,178,145,0,0,0,0,1077,102,760
0,145,277,126,756,0,0,0,78,0,119,0,0,1048,77,632
0,177,220,233,734,0,0,0,0,0,0,0,0,1049,234,1418
0,139,231,105,740,0,0,0,27,0,1620,0,0,1040,136,4593
0,129,956,184,740,0,0,0,0,312,0,0,0,992,145,1585
0,1038,254,131,742,0,195,967,61,0,367,0,0,1024,37,1619
0,113,356,213,768,929,0,0,132,0,833,0,0,1143,143,3487
0,149,189,178,734,348,0,0,208,0,0,0,0,1135,344,1796
0,180,241,162,738,0,0,0,164,0,0,0,0,1031,31,3046
0,52,202,109,732,0,0,0,28,0,0,0,0,1097,176,1626
0,120,204,37,722,0,0,0,124,0,0,0,0,1112,140,1687
0,210,198,95,742,0,0,0,154,715,1675,0,0,1148,166,1419
0,199,192,104,728,1077,0,0,153,0,0,0,0,1277,41,437
0,161,213,115,728,315,0,0,84,0,375,0,0,1208,75,992
324,195,193,93,726,617,0,0,186,0,0,0,0,1185,62,419
0,198,211,118,716,0,0,0,144,0,0,0,0,1219,55,666
0,1331,205,120,754,0,0,1263,95,0,0,0,0,1227,74,332
0,300,216,174,780,366,0,0,97,0,0,0,0,1197,39,1008
0,165,217,112,720,271,0,0,74,0,630,0,0,1193,73,1032
0,167,193,117,762,868,206,0,79,0,0,0,0,1208,108,1275
0,72,259,148,778,0,0,0,138,0,8263,0,0,1138,167,947
