NPLV,NOP_Вхождение в гр.МНЛЗ,NOP_Завалка лома,NOP_Заливка чугуна,NOP_Наведение гарнисажа,NOP_Нагрев лома,NOP_Наложение продувки,NOP_Неиспр. электр. обор,NOP_Обрыв горловины,NOP_Осмотр конвертера,NOP_Отсутствие O2,NOP_Отсутствие чугуна,NOP_Подварка  футеровки,NOP_Полусухое торкрет.,NOP_Продувка,NOP_Слив шлака,NOP_межпл. простой,V_start_Продувка,T_start_Продувка,O2_start_Продувка,N2_start_Продувка,H2_start_Продувка,CO2_start_Продувка,CO_start_Продувка,AR_start_Продувка,O2_pressure_start_Продувка,V_end_Продувка,T_end_Продувка,O2_end_Продувка,N2_end_Продувка,H2_end_Продувка,CO2_end_Продувка,CO_end_Продувка,AR_end_Продувка,O2_pressure_end_Продувка,V_start_Заливка чугуна,T_start_Заливка чугуна,O2_start_Заливка чугуна,N2_start_Заливка чугуна,H2_start_Заливка чугуна,CO2_start_Заливка чугуна,CO_start_Заливка чугуна,AR_start_Заливка чугуна,O2_pressure_start_Заливка чугуна,V_end_Заливка чугуна,T_end_Заливка чугуна,O2_end_Заливка чугуна,N2_end_Заливка чугуна,H2_end_Заливка чугуна,CO2_end_Заливка чугуна,CO_end_Заливка чугуна,AR_end_Заливка чугуна,O2_pressure_end_Заливка чугуна,V_start_Завалка лома,T_start_Завалка лома,O2_start_Завалка лома,N2_start_Завалка лома,H2_start_Завалка лома,CO2_start_Завалка лома,CO_start_Завалка лома,AR_start_Завалка лома,O2_pressure_start_Завалка лома,V_end_Завалка лома,T_end_Завалка лома,O2_end_Завалка лома,N2_end_Завалка лома,H2_end_Завалка лома,CO2_end_Завалка лома,CO_end_Завалка лома,AR_end_Завалка лома,O2_pressure_end_Завалка лома
510008,0,16,203,100,730,0,0,0,144,126,0,0,0,1170,46,666,211585.734375,455.2083435058594,19.920000076293945,79.08999633789062,0.0199999995529651,0.050000000745058,0.0,0.8399999737739563,13.715277671813965,228116.28125,788.8888549804688,9.0600004196167,78.13999938964844,0.0,11.210000038146973,0.6100000143051147,0.9800000190734864,13.179977416992188,217732.421875,298.6111145019531,23.75,71.37999725341797,0.0,3.680000066757202,0.2599999904632568,0.9200000166893004,13.425925254821776,211366.796875,452.0833129882813,19.71999931335449,79.30999755859375,0.0299999993294477,0.0,0.0299999993294477,0.9100000262260436,13.773147583007812,218263.34375,262.84722900390625,18.72299312193648,80.13224697113037,0.0877551055278907,0.1638775553022116,0.0092290250622496,0.8932426159614338,13.0859375,218051.125,252.43055725097656,18.82999992370605,80.19999694824219,0.0900000035762786,0.0,0.0,0.8899999856948853,12.984664916992188
510009,620,31,188,112,788,0,0,0,198,440,0,0,0,1230,118,845,217413.234375,229.86111450195312,19.170000076293945,79.88999938964844,0.0299999993294477,0.0,0.0199999995529651,0.8899999856948853,15.133102416992188,218898.75,849.6527709960938,5.349999904632568,77.19000244140625,0.0,15.479999542236328,0.9800000190734864,0.9900000095367432,14.069734573364258,217838.71875,132.29165649414062,24.549999237060547,71.55000305175781,0.0,2.7699999809265137,0.2300000041723251,0.8999999761581421,15.704572677612305,215058.140625,227.0833282470703,19.170000076293945,79.88999938964844,0.0299999993294477,0.0,0.0199999995529651,0.8899999856948853,15.219907760620115,219321.34375,200.0,17.094703573855163,80.32852719265851,0.0957037051298,1.6009941125835798,0.0532344212943484,0.92240357761567,12.78211784362793,219532.34375,188.88888549804688,17.43000030517578,80.41999816894531,0.1000000014901161,1.2000000476837158,0.0299999993294477,0.9200000166893004,12.615739822387695
510010,0,133,209,136,738,0,0,0,102,0,0,0,0,1226,55,614,208277.78125,505.90277099609375,20.21999931335449,78.83999633789062,0.0,0.3799999952316284,0.0299999993294477,0.9200000166893004,14.359085083007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218898.75,222.2222137451172,27.40999984741211,69.18000030517578,0.0,2.289999961853028,0.2300000041723251,0.8899999856948853,14.402487754821776,207944.078125,501.3888854980469,20.21999931335449,78.83999633789062,0.0,0.0,0.0299999993294477,0.9200000166893004,14.424189567565918,215810.28125,211.80555725097656,14.938183780311237,79.37954117589237,0.0930196902423249,4.4035009638746665,0.278774622493552,0.9041356735208624,14.301215171813965,225770.28125,169.79165649414062,18.75,80.25,0.1299999952316284,0.0,0.0,0.8700000047683716,14.460359573364258
510011,0,17,175,184,776,0,0,541,0,0,0,0,0,1058,42,1401,218051.125,286.1111145019531,20.77571974675208,75.63616734334867,0.0115068490578703,1.1813513233854964,0.0837837850322594,0.8756000248591105,14.388020515441896,222569.171875,828.4722290039062,0.0,47.0,0.0599999986588954,23.309999465942383,28.959999084472656,0.6800000071525574,13.917824745178224,222984.8125,280.9027709960937,24.420916603121697,71.16000366210938,0.0,2.819999933242798,0.2000000029802322,0.9100000262260436,14.388020515441896,218051.125,286.1111145019531,20.79654944307419,75.52959201760488,0.0112328764612544,1.2194594305914803,0.0864864877752355,0.8764000248908996,14.388020515441896,218263.34375,131.94444274902344,12.767550146579744,82.21415208816528,0.0592999986745417,3.672174948453903,0.482974989041686,0.7938500209152699,13.577835083007812,218475.359375,132.12962341308594,12.84000015258789,82.26000213623047,0.0599999986588954,3.559999942779541,0.4799999892711639,0.7900000214576721,13.45486068725586
510012,0,136,184,133,736,0,0,0,120,0,0,0,0,1239,49,929,215595.65625,430.5555725097656,19.790000915527344,79.27999877929688,0.0299999993294477,0.0,0.0099999997764825,0.8899999856948853,14.568864822387695,225770.28125,813.1943969726562,6.050000190734863,79.95999908447266,0.0199999995529651,12.289999961853027,0.699999988079071,0.9800000190734864,13.8671875,223503.25,168.75,24.72793165568648,71.31999969482422,0.0,1.057025865748011,0.1553418825690945,0.9131465613328176,14.981192588806152,215380.78125,428.8194580078125,19.790000915527344,79.27999877929688,0.0299999993294477,0.0,0.0099999997764825,0.8899999856948853,14.641202926635742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219953.703125,192.7083282470703,18.600000381469727,80.08000183105469,0.0799999982118606,0.1199999973177909,0.1800000071525573,0.9300000071525574,14.583333015441896
510013,0,167,232,93,764,973,0,0,69,0,0,0,0,1179,91,2259,226180.03125,250.69444274902344,20.0,79.05000305175781,0.0199999995529651,0.0,0.0399999991059303,0.8899999856948853,15.096932411193848,227608.328125,838.5416259765625,5.849999904632568,79.83999633789062,0.0213245028346184,12.539999961853027,0.7900000214576721,0.959999978542328,15.277777671813965,222256.953125,135.4166717529297,26.43000030517578,70.3499984741211,0.0,2.0199999809265137,0.3000000119209289,0.8999999761581421,15.690104484558104,225565.140625,250.3472137451172,20.0,79.05000305175781,0.0199999995529651,0.0,0.0399999991059303,0.8899999856948853,15.169270515441896,219532.34375,94.44444274902344,7.71999979019165,75.19999694824219,0.0,15.760000228881836,0.3400000035762787,0.9800000190734864,15.328414916992188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510014,568,196,207,116,760,817,0,0,55,0,0,0,0,1167,23,2489,223296.015625,235.06944274902344,15.130000114440918,83.62000274658203,0.0399999991059303,0.3300000131130218,0.0799999982118606,0.800000011920929,15.053529739379885,221944.265625,702.0833129882812,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.632234573364258,223503.25,111.04983251235063,24.600000381469727,73.55000305175781,0.0,0.8100000023841858,0.1299999952316284,0.9100000262260436,15.632234573364258,222984.8125,234.0277862548828,19.07999992370605,79.97000122070312,0.0399999991059303,0.0,0.0299999993294477,0.8799999952316284,15.118635177612305,222465.15625,97.25319904252596,13.890000343322754,77.45999908447266,0.0,7.150000095367432,0.449999988079071,1.0499999523162842,14.937789916992188,223606.796875,114.23611450195312,18.739999771118164,80.23999786376953,0.1000000014901161,0.0,0.0,0.9200000166893004,15.183737754821776
510015,0,173,222,115,734,0,0,0,62,0,0,1239,0,1215,153,2002,217413.234375,310.7638854980469,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.082465171813965,232936.171875,852.7777709960938,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.747974395751951,226589.03125,161.80555725097656,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.704572677612305,217413.234375,310.7638854980469,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.082465171813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225154.28125,155.90277099609375,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.530960083007812
510016,0,170,203,110,746,0,0,0,111,0,0,0,0,1190,92,561,224536.5625,358.33331298828125,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.089699745178224,229229.78125,822.9166870117188,0.0,62.61000061035156,0.0299999993294477,23.21999931335449,13.350000381469728,0.7900000214576721,15.769675254821776,224639.625,203.125,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.769675254821776,224123.8125,356.25,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.162036895751951,218263.34375,296.875,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.473043047255723,221108.3125,192.7083282470703,0.0,31.1299991607666,0.1400000005960464,18.51000022888184,49.7400016784668,0.4900000095367431,15.364583015441896
510017,689,158,221,109,736,0,0,0,119,0,0,0,0,1031,57,2108,223088.59375,322.9166564941406,20.06999969482422,78.95999908447266,0.0099999997764825,0.0099999997764825,0.0299999993294477,0.9100000262260436,15.12586784362793,226895.3125,894.0972290039062,0.0,61.869998931884766,0.1199999973177909,25.09000015258789,12.140000343322754,0.7799999713897705,15.805845260620115,224536.5625,138.9274664984809,23.280000686645508,73.81999969482422,0.0,1.820000052452088,0.1700000017881393,0.9100000262260436,15.530960083007812,222777.078125,321.875,20.01000022888184,79.08000183105469,0.0099999997764825,0.0,0.0,0.8999999761581421,15.19820499420166,222152.75,98.95832824707033,0.0,62.61000061035156,0.0299999993294477,23.21999931335449,13.350000381469728,0.7900000214576721,15.545427322387695,226691.171875,114.58333587646484,17.420000076293945,80.13999938964844,0.0599999986588954,1.2000000476837158,0.2800000011920929,0.9100000262260436,15.523727416992188
