NPLV,O2
510008,2909.0
510009,2182.0
510010,2841.0
510011,10.0
510012,3225.0
510013,4014.0
510014,2811.0
510015,3386.0
510016,1990.0
510017,3345.0
510018,1532.0
510019,1711.0
510020,1737.0
510021,1391.0
510022,3694.0
510023,2959.0
510024,2898.0
510026,4658.0
510027,4570.0
510028,2442.0
510030,4198.0
510031,4431.0
510032,2138.0
510033,3138.0
510037,3273.0
510040,2313.0
510043,4595.0
510044,3535.0
510045,3436.0
510047,3079.0
510048,1655.0
510049,3608.0
510050,3835.0
510051,3338.0
510052,2485.0
510053,1946.0
510055,3458.0
510057,3745.0
510058,2.0
510059,3432.0
510060,1939.0
510061,1968.0
510062,1983.0
510063,1517.0
510064,1934.0
510066,2141.0
510067,4626.0
510068,3024.0
510069,4251.0
510070,4382.0
510071,4322.0
510072,3814.0
510073,4371.0
510074,4447.0
510075,4181.0
510076,4005.0
510077,3567.0
510078,2883.0
510079,4707.0
510080,4413.0
510081,1461.0
510082,1914.0
510083,4185.0
510084,3123.0
510087,4076.0
510088,3981.0
510089,3650.0
510090,2087.0
510091,2030.0
510092,1997.0
510093,3784.0
510094,1912.0
510095,6402.0
510096,1992.0
510097,4054.0
510098,2964.0
510099,3481.0
510100,3361.0
510101,3158.0
510102,4093.0
510103,1911.0
510104,3704.0
510105,3040.0
510106,3036.0
510107,3650.0
510108,2987.0
510109,1891.0
510110,3144.0
510111,3072.0
510112,3503.0
510114,2864.0
510115,2654.0
510116,3467.0
510117,4133.0
510118,3897.0
510119,3580.0
510120,4022.0
510121,2883.0
510122,2033.0
510124,2149.0
510125,2389.0
510126,2306.0
510128,2184.0
510130,3996.0
510131,2519.0
510132,3849.0
510133,3543.0
510134,2242.0
510135,2518.0
510136,2781.0
510137,1746.0
510138,1819.0
510139,1965.0
510140,2547.0
510141,1921.0
510142,1689.0
510143,2477.0
510144,3853.0
510145,3937.0
510146,3637.0
510147,5210.0
510148,3774.0
510149,3280.0
510151,3080.0
510152,2350.0
510153,3344.0
510156,2041.0
510157,0.0
510158,2303.0
510159,4263.0
510160,3812.0
510161,4010.0
510163,0.0
510164,3833.0
510165,2392.0
510166,2523.0
510167,2162.0
510168,4154.0
510169,4554.0
510170,60.0
510171,2690.0
510172,2850.0
510174,1882.0
510175,1872.0
510176,1808.0
510177,5.0
510178,1981.0
510179,1491.0
510180,1680.0
510181,346.0
510182,1688.0
510183,1712.0
510184,1925.0
510185,2986.0
510186,3247.0
510187,1848.0
510188,2986.0
510189,16429.0
510190,2680.0
510191,2402.0
510192,1710.0
510193,1770.0
510195,1852.0
510197,1835.0
510198,3033.0
510199,2510.0
510200,3021.0
510201,4011.0
510202,3574.0
510203,3518.0
510205,3057.0
510206,2369.0
510207,2421.0
510208,3215.0
510209,2415.0
510210,4312.0
510211,799.0
510212,675.0
510213,2621.0
510214,2078.0
510215,2035.0
510216,2972.0
510217,1599.0
510218,3115.0
510219,1792.0
510220,3118.0
510221,2478.0
510222,1769.0
510223,3047.0
510224,1718.0
510225,2839.0
510226,3021.0
510227,3089.0
510228,1895.0
510229,1396.0
510230,1880.0
510231,72.0
510232,2122.0
510233,2634.0
510234,25.0
510235,1904.0
510236,1462.0
510237,2043.0
510238,3539.0
510239,2673.0
510240,2318.0
510241,2369.0
510242,2677.0
510243,2094.0
510244,2539.0
510245,2368.0
510246,2275.0
510248,4605.0
510249,3609.0
510250,2245.0
510251,1796.0
510252,2076.0
510253,2115.0
510254,3350.0
510255,3552.0
510258,2324.0
510259,2107.0
510260,2005.0
510261,2803.0
510263,1783.0
510264,3803.0
510265,1844.0
510266,1242.0
510267,1683.0
510268,1896.0
510269,1964.0
510270,2020.0
510271,1597.0
510272,4108.0
510273,3893.0
510274,3060.0
510275,3010.0
510276,1810.0
510278,2410.0
510279,2517.0
510280,3601.0
510281,2501.0
510282,2560.0
510283,3887.0
510284,2147.0
510285,2070.0
510286,3539.0
510287,3751.0
510288,2770.0
510289,3354.0
510290,3909.0
510291,1805.0
510292,3828.0
510293,2332.0
510294,2369.0
510295,5372.0
510296,1646.0
510297,2004.0
510299,4209.0
510300,3162.0
510301,1819.0
510302,2897.0
510303,2682.0
510304,3234.0
510305,3171.0
510306,1801.0
510307,1738.0
510308,2561.0
510310,3392.0
510311,3148.0
510312,3848.0
510313,3202.0
510314,3105.0
510317,3351.0
510318,2471.0
510319,2467.0
510320,0.0
510321,2164.0
510322,2521.0
510323,0.0
510324,3872.0
510325,3882.0
510326,2354.0
510327,2695.0
510328,0.0
510329,3397.0
510330,2263.0
510331,1869.0
510332,2148.0
510333,2083.0
510334,1800.0
510335,2053.0
510336,2379.0
510337,2374.0
510338,2069.0
510339,2623.0
510341,3565.0
510342,1919.0
510343,1491.0
510344,3885.0
510345,1955.0
510347,2838.0
510348,1682.0
510349,32.0
510350,9.0
510351,0.0
510353,1738.0
510354,1616.0
510355,1852.0
510356,1928.0
510358,1882.0
510359,2840.0
510360,2737.0
510361,2898.0
510363,2449.0
510364,1991.0
510365,4647.0
510366,2957.0
510367,2096.0
510368,2114.0
510369,3261.0
510370,5086.0
510371,3721.0
510372,2713.0
510373,3439.0
510374,2260.0
510375,4169.0
510376,4001.0
510377,3172.0
510378,3550.0
510379,2121.0
510381,1952.0
510384,3576.0
510385,3488.0
510386,2007.0
510387,1843.0
510388,2673.0
510389,2174.0
510390,1959.0
510391,2594.0
510392,2737.0
510393,1768.0
510394,2147.0
510395,1976.0
510397,1820.0
510398,2149.0
510399,3780.0
510400,1610.0
510401,1729.0
510403,2931.0
510404,1386.0
510405,1502.0
510406,948.0
510407,3536.0
510408,3228.0
510409,3350.0
510410,3032.0
510411,1907.0
510412,3353.0
510413,2514.0
510414,2705.0
510415,4449.0
510416,3092.0
510417,1703.0
510418,2075.0
510419,2241.0
510420,2188.0
510421,2195.0
510422,3657.0
510423,2233.0
510425,3282.0
